collocate,raw_frequency,MI
do,6,3.4079962226525087
so,8,3.3870594972999304
the,47,2.4532560473086487
child,4,4.690923341479158
might,4,3.739564510776213
not,5,2.4401633163496976
even,3,4.00340363778494
kiss,2,5.72121638616979
her,29,3.361725929495302
and,54,3.125773956291404
nurse,1,5.33479947303232
looked,1,2.332677401379558
pityingly,1,8.305213938602021
at,8,2.6265356195417318
ida,1,2.8245750152600295
when,5,3.052417087355794
they,5,3.1794658374052607
passed,1,3.967923197769531
an,10,3.720756794211471
end,2,3.794354432085171
she,18,3.027524539849952
had,25,3.4949827088504857
to,54,3.1685444213573066
rise,1,5.30948166504803
go,2,2.8573995609080733
put,4,4.282096885668288
orange,1,6.695776026167921
into,2,2.5622107507925387
hand,1,2.6704243354327715
spoke,1,3.6704849503723853
a,49,3.267665171496804
few,2,3.7176986878526503
daughter,1,3.47690020129972
yet,3,3.9273626753386197
was,26,3.168058956012508
their,1,2.3890118759945858
relative,1,6.359303789546708
mr,6,3.391946495419556
smales,2,6.195000738255431
who,10,4.0718323343627105
early,1,3.981081282347042
age,1,4.383240602320707
became,1,4.344400769004443
public,1,4.955309851327416
singer,1,7.899748830493857
heard,4,4.46576162600871
of,35,2.80921735960571
signor,1,8.998361119161967
casti,1,4.721695000145911
all,4,2.6602088346483197
care,1,3.5516237474956562
his,52,4.064994605856522
s,30,3.88798104819352
fallen,1,4.591641871897713
upon,2,2.333314546988879
poor,1,2.9070512370842683
substance,1,7.388923206727866
talk,4,4.782536659402156
such,4,3.757937731032832
times,1,3.6001984176442132
led,1,4.262162670767471
attendant,1,6.053922139995526
ask,2,4.32553228470006
reason,1,4.028547819585966
returned,2,4.591641871897713
whether,1,3.916956754177503
did,2,2.7668959036733516
lad,1,4.973009428426817
thirteen,1,6.513454469373966
harriet,2,4.455066336891963
he,30,3.1552999106444783
always,1,2.955728285479585
regarded,1,5.9073186658036505
as,10,2.8369428492538935
never,1,2.1674868845157866
failed,1,5.10654082105134
in,24,2.9218663228694086
brotherly,2,7.494283722385692
duty,2,5.191698629391647
i,26,2.7765482681824114
meant,2,5.158908806568656
male,1,7.052450970106653
friend,6,4.5267223257983975
said,7,2.8983625259465002
quickly,1,4.262162670767471
you,19,2.889464475162389
are,3,3.008564629154681
my,21,3.9016937634276974
no,3,2.3083473422050442
m,1,2.7998824026696583
reply,1,4.307013236932822
insisted,1,5.414842180705856
good,2,2.8488250174834895
humouredly,1,8.998361119161967
we,4,3.1164324591222914
ve,2,3.482918273625283
been,4,2.7035564787454978
brother,8,6.6469858619984885
ever,2,3.4434654252134824
since,1,3.2780493425545547
can,3,3.0661159317139557
remember,1,3.833575145238452
haven,1,4.579520511365368
t,8,3.1853506173214496
but,8,2.845628424457862
peculiarly,1,7.388923206727866
revolting,1,8.305213938602021
dessay,1,7.206601649933911
it,9,2.3335270191027133
ll,2,3.308001664837906
join,1,6.16514777510575
its,2,3.5218975672304556
little,8,3.7356709302570805
before,3,3.273687285474389
long,3,3.50942339300528
mike,1,8.998361119161967
club,2,7.206601649933911
yes,2,3.110869162436962
day,2,2.9761249133872307
what,6,3.2023033683965942
better,1,2.9846459631191644
gave,3,4.502262028228237
me,8,2.9164276376443152
help,1,3.5867150673069266
kept,1,3.637068953452541
laundry,1,6.513454469373966
thought,4,3.711357512514203
perhaps,3,4.049601228783798
that,21,3.050947981876243
town,2,4.895717754125171
miss,1,2.6793930054155317
bygrave,2,6.195000738255431
elder,3,7.2637600637738595
mrs,1,2.3314043267327595
enderby,3,5.56437391467682
received,1,4.476572542112926
letter,2,3.9977761609192117
from,5,2.7881627292284747
paul,2,6.16514777510575
summoning,1,7.612066758042076
quite,2,3.639419130797495
recovered,1,5.53262521636224
home,1,2.884678939329735
now,1,2.088607837517156
be,9,3.0966389475548457
with,14,3.008862789507527
theresa,2,7.293613026923541
maud,1,3.7888749663205457
nearly,1,4.393190933173875
seven,1,4.764254614564707
years,3,4.406613953506016
were,7,3.4515109672949005
both,1,3.772614445448765
dead,2,4.266558282240509
dwelt,1,6.801136541825747
apart,2,6.225772396922185
